Issue Date,,06-Nov-23,"11-Nov-23
no mpox reports",18-Nov-23,"26-Nov-23
no mpox reports","3-Dec-23
no mpox reports","9-Dec-23
no mpox reports","18-Dec-23
no mpox reports",24-Dec-23,"31-Dec-23
no mpox reports",07-Jan-24,"12-Jan-24
no mpox reports","20-Jan-24
no mpox reports","29-Jan-24
no mpox reports","3-Feb-24
no mpox reports",10-Feb-24,"17-Feb-24
no mpox reports","4-Mar-24
no mpox reports",17-Mar-24,24-Mar-24,29-Mar-24,06-Apr-24,14-Apr-24,20-Apr-24,28-Apr-24,05-May-24,12-May-24,18-May-24,25-May-24,01-Jun-24,09-Jun-24,16-Jun-24,22-Jun-24,30-Jun-24,06-Jul-24,12-Jul-24,"19-Jul-24
No mpox reports",28-Jul-24,03-Aug-24,09-Aug-24,16-Aug-24,25-Aug-24,31-Aug-24,10-Sep-24,16-Sep-24,23-Sep-24,30-Sep-24,06-Oct-24,12-Oct-24,"21-Oct-24
(data appears to be the same as 22-Oct bulletin)",26-Oct-24
Africa (All Countries),Cumulative Confirmed Cases,807,,811,,,,,1431,,1431,,,,,251,,,268,340,342,342,362,362,362,364,364,366,931,932,1186,1195,1196,1229,1233,2145,,2740,2855,2822,3101,3331,5265,5549,6210,6439,6806,6975,7532,8548,9298
,Cumulative Cases,10188,,10209,,,,,10632,,13178,,,,,1357,,,3023,3658,4252,4323,4730,4897,5091,5571,5725,6217,6566,6588,6920,7284,7905,8376,8900,9352,,11505,12221,14719,15636,17389,18737,24873,27975,32010,34297,34825,38845,42442,45674
,Cumulative Deaths,556,,557,,,,,9,,9,,,,,115,,,250,264,280,297,312,319,323,334,336,350,375,375,384,401,419,425,433,449,,456,461,517,541,582,617,643,738,840,866,866,979,989,1014
,Case Fatality Rate (%),5.1,,5.1,,,,,0.6,,0.6,,,,,"45.8
(should be 115/1357 = 8.5)",,,7.63,6.6,6.09,6.37,6.13,6.07,5.92,5.63,5.52,5.32,5,4.99,4.74,4.73,4.6,4.42,4.27,3.91,,3.2,3.06,2.95,2.89,2.81,2.57,2.11,2.13,2.18,2.52,2.07,2.11,2.33,2.22
,Cumulative Testing Rate,No info,,No info,,,,,No info,,No info,,,,,No info,,,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,,No info,No info,No info,No info,No info,No info,56,53,48.9,47,46,46.3,52.8,52.8
Burundi,New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,124,99,173,303,327,40,353,493,105,101,320,280,238
,New Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,39,39,90,91,15,52,179,132,157,134,183,117
,New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cumulative Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,127,226,399,702,1029,1139,1497,1982,2087,2188,2508,2788,3026
,Cumulative Confirmed Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,22,61,100,190,281,328,365,564,696,853,987,1170,1287
